"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"LevendGeborenKinderen_2";"Overledenen_3";"TotaleVestiging_4";"VestigingVanuitEenAndereGemeente_5";"Immigratie_6";"TotaalVertrekInclAdmCorrecties_7";"VertrekNaarAndereGemeente_8";"EmigratieInclusiefAdmCorrecties_9";"OverigeCorrecties_10";"Bevolkingsgroei_11";"BevolkingsgroeiRelatief_12";"BevolkingsgroeiSinds1Januari_13";"BevolkingsgroeiSinds1JanuariRela_14";"BevolkingAanHetEindeVanDePeriode_15"
"107365";"GM1714";"2005MM02";"   24584";"      17";"      26";"      66";"      55";"      11";"     164";"      28";"     136";"";"    -107";"   -0.44";"    -128";"   -0.52";"   24477"
"107366";"GM1714";"2005MM03";"   24477";"      17";"      36";"      40";"      37";"       3";"      49";"      39";"      10";"";"     -28";"   -0.11";"    -156";"   -0.63";"   24449"
"107367";"GM1714";"2005MM04";"   24449";"      15";"      20";"      66";"      48";"      18";"      48";"      35";"      13";"";"      13";"    0.05";"    -143";"   -0.58";"   24462"
"107368";"GM1714";"2005MM05";"   24462";"      18";"      23";"      36";"      26";"      10";"      46";"      22";"      24";"";"     -15";"   -0.06";"    -158";"   -0.64";"   24447"
"107369";"GM1714";"2005MM06";"   24447";"      11";"      27";"      56";"      49";"       7";"      41";"      26";"      15";"";"      -1";"    0.00";"    -159";"   -0.65";"   24446"
"107370";"GM1714";"2005MM07";"   24446";"      15";"      23";"      91";"      75";"      16";"     107";"      46";"      61";"";"     -24";"   -0.10";"    -183";"   -0.74";"   24422"
"107371";"GM1714";"2005MM08";"   24422";"      16";"      28";"      89";"      79";"      10";"      84";"      71";"      13";"";"      -7";"   -0.03";"    -190";"   -0.77";"   24415"
"107372";"GM1714";"2005MM09";"   24415";"      17";"      24";"      88";"      76";"      12";"     103";"      91";"      12";"";"     -22";"   -0.09";"    -212";"   -0.86";"   24393"
"107373";"GM1714";"2005MM10";"   24393";"      18";"      22";"      68";"      57";"      11";"      76";"      40";"      36";"";"     -12";"   -0.05";"    -224";"   -0.91";"   24381"
"107374";"GM1714";"2005MM11";"   24381";"      20";"      26";"      53";"      45";"       8";"      66";"      54";"      12";"";"     -19";"   -0.08";"    -243";"   -0.99";"   24362"
"107375";"GM1714";"2005MM12";"   24362";"      21";"      26";"      54";"      47";"       7";"      61";"      50";"      11";"       7";"      -5";"   -0.02";"    -248";"   -1.01";"   24357"
"107376";"GM1714";"2005JJ00";"   24605";"     200";"     307";"     765";"     643";"     122";"     913";"     550";"     363";"       7";"    -248";"   -1.01";"    -248";"   -1.01";"   24357"
"107377";"GM1714";"2006MM01";"   24357";"      12";"      28";"      94";"      68";"      26";"      71";"      47";"      24";"";"       7";"    0.03";"       7";"    0.03";"   24364"
"107378";"GM1714";"2006MM02";"   24364";"      15";"      29";"      48";"      32";"      16";"      49";"      27";"      22";"";"     -15";"   -0.06";"      -8";"   -0.03";"   24349"
"107379";"GM1714";"2006MM03";"   24349";"      19";"      35";"      65";"      49";"      16";"      49";"      33";"      16";"";"       0";"    0.00";"      -8";"   -0.03";"   24349"
"107380";"GM1714";"2006MM04";"   24349";"      17";"      25";"      53";"      38";"      15";"      50";"      35";"      15";"";"      -5";"   -0.02";"     -13";"   -0.05";"   24344"
"107381";"GM1714";"2006MM05";"   24344";"      18";"      19";"      69";"      52";"      17";"      44";"      36";"       8";"";"      24";"    0.10";"      11";"    0.05";"   24368"
"107382";"GM1714";"2006MM06";"   24368";"      27";"      19";"      55";"      48";"       7";"      42";"      31";"      11";"";"      21";"    0.09";"      32";"    0.13";"   24389"
"107383";"GM1714";"2006MM07";"   24389";"      20";"      21";"      72";"      59";"      13";"      78";"      75";"       3";"";"      -7";"   -0.03";"      25";"    0.10";"   24382"
"107384";"GM1714";"2006MM08";"   24382";"      18";"      26";"     103";"      82";"      21";"     101";"      84";"      17";"";"      -6";"   -0.02";"      19";"    0.08";"   24376"
"107385";"GM1714";"2006MM09";"   24376";"      15";"      22";"      39";"      34";"       5";"      97";"      75";"      22";"";"     -65";"   -0.27";"     -46";"   -0.19";"   24311"
"107386";"GM1714";"2006MM10";"   24311";"      22";"      24";"      62";"      45";"      17";"      80";"      53";"      27";"";"     -20";"   -0.08";"     -66";"   -0.27";"   24291"
"107387";"GM1714";"2006MM11";"   24291";"      13";"      20";"      61";"      50";"      11";"      49";"      32";"      17";"";"       5";"    0.02";"     -61";"   -0.25";"   24296"
"107388";"GM1714";"2006MM12";"   24296";"      20";"      32";"      73";"      68";"       5";"      35";"      27";"       8";"       3";"      29";"    0.12";"     -32";"   -0.13";"   24325"
"107389";"GM1714";"2006JJ00";"   24357";"     216";"     300";"     794";"     625";"     169";"     745";"     555";"     190";"       3";"     -32";"   -0.13";"     -32";"   -0.13";"   24325"
"107390";"GM1714";"2007MM01";"   24325";"      11";"      28";"      82";"      53";"      29";"      74";"      46";"      28";"";"      -9";"   -0.04";"      -9";"   -0.04";"   24316"
"107391";"GM1714";"2007MM02";"   24316";"      14";"      24";"      53";"      41";"      12";"      50";"      37";"      13";"";"      -7";"   -0.03";"     -16";"   -0.07";"   24309"
"107392";"GM1714";"2007MM03";"   24309";"      17";"      19";"      70";"      46";"      24";"      48";"      39";"       9";"";"      20";"    0.08";"       4";"    0.02";"   24329"
"107393";"GM1714";"2007MM04";"   24329";"      11";"      18";"      65";"      46";"      19";"      40";"      25";"      15";"";"      18";"    0.07";"      22";"    0.09";"   24347"
"107394";"GM1714";"2007MM05";"   24347";"      17";"      25";"      87";"      64";"      23";"      53";"      35";"      18";"";"      26";"    0.11";"      48";"    0.20";"   24373"
"107395";"GM1714";"2007MM06";"   24373";"      16";"      17";"      55";"      45";"      10";"      57";"      40";"      17";"";"      -3";"   -0.01";"      45";"    0.18";"   24370"
"107396";"GM1714";"2007MM07";"   24370";"      15";"      15";"      73";"      56";"      17";"      68";"      39";"      29";"";"       5";"    0.02";"      50";"    0.21";"   24375"
"107397";"GM1714";"2007MM08";"   24375";"      10";"      19";"      57";"      44";"      13";"     113";"     102";"      11";"";"     -65";"   -0.27";"     -15";"   -0.06";"   24310"
"107398";"GM1714";"2007MM09";"   24310";"      18";"      25";"      74";"      62";"      12";"      67";"      58";"       9";"";"       0";"    0.00";"     -15";"   -0.06";"   24310"
"107399";"GM1714";"2007MM10";"   24310";"      16";"      32";"      69";"      46";"      23";"      79";"      62";"      17";"";"     -26";"   -0.11";"     -41";"   -0.17";"   24284"
"107400";"GM1714";"2007MM11";"   24284";"      11";"      27";"      44";"      28";"      16";"      71";"      47";"      24";"";"     -43";"   -0.18";"     -84";"   -0.35";"   24241"
"107401";"GM1714";"2007MM12";"   24241";"       8";"      22";"      44";"      38";"       6";"      44";"      35";"       9";"      11";"      -3";"   -0.01";"     -87";"   -0.36";"   24238"
"107402";"GM1714";"2007JJ00";"   24325";"     164";"     271";"     773";"     569";"     204";"     764";"     565";"     199";"      11";"     -87";"   -0.36";"     -87";"   -0.36";"   24238"
"107403";"GM1714";"2008MM01";"   24238";"      21";"      29";"      89";"      60";"      29";"      79";"      58";"      21";"";"       2";"    0.01";"       2";"    0.01";"   24240"
"107404";"GM1714";"2008MM02";"   24240";"      20";"      22";"      55";"      37";"      18";"      44";"      39";"       5";"";"       9";"    0.04";"      11";"    0.05";"   24249"
"107405";"GM1714";"2008MM03";"   24249";"      25";"      31";"      56";"      38";"      18";"      54";"      34";"      20";"";"      -4";"   -0.02";"       7";"    0.03";"   24245"
"107406";"GM1714";"2008MM04";"   24245";"      12";"      24";"      75";"      48";"      27";"      53";"      31";"      22";"";"      10";"    0.04";"      17";"    0.07";"   24255"
"107407";"GM1714";"2008MM05";"   24255";"       9";"      25";"      59";"      42";"      17";"      52";"      34";"      18";"";"      -9";"   -0.04";"       8";"    0.03";"   24246"
"107408";"GM1714";"2008MM06";"   24246";"      15";"      25";"      52";"      43";"       9";"      51";"      31";"      20";"";"      -9";"   -0.04";"      -1";"    0.00";"   24237"
"107409";"GM1714";"2008MM07";"   24237";"      17";"      25";"      88";"      65";"      23";"      95";"      75";"      20";"";"     -15";"   -0.06";"     -16";"   -0.07";"   24222"
"107410";"GM1714";"2008MM08";"   24222";"      24";"       8";"      84";"      63";"      21";"     112";"      86";"      26";"";"     -12";"   -0.05";"     -28";"   -0.12";"   24210"
"107411";"GM1714";"2008MM09";"   24210";"      18";"      23";"      83";"      59";"      24";"      96";"      83";"      13";"";"     -18";"   -0.07";"     -46";"   -0.19";"   24192"
"107412";"GM1714";"2008MM10";"   24192";"       8";"      15";"      49";"      36";"      13";"      70";"      42";"      28";"";"     -28";"   -0.12";"     -74";"   -0.31";"   24164"
"107413";"GM1714";"2008MM11";"   24164";"      13";"      21";"      35";"      26";"       9";"      61";"      46";"      15";"";"     -34";"   -0.14";"    -108";"   -0.45";"   24130"
"107414";"GM1714";"2008MM12";"   24130";"      25";"      27";"      40";"      29";"      11";"      28";"      19";"       9";"      16";"      26";"    0.11";"     -82";"   -0.34";"   24156"
"107415";"GM1714";"2008JJ00";"   24238";"     207";"     275";"     765";"     546";"     219";"     795";"     578";"     217";"      16";"     -82";"   -0.34";"     -82";"   -0.34";"   24156"
"107416";"GM1714";"2009MM01";"   24156";"       6";"      40";"      85";"      64";"      21";"      45";"      34";"      11";"";"       6";"    0.02";"       6";"    0.02";"   24162"
"107417";"GM1714";"2009MM02";"   24162";"      14";"      18";"      42";"      22";"      20";"      55";"      39";"      16";"";"     -17";"   -0.07";"     -11";"   -0.05";"   24145"
"107418";"GM1714";"2009MM03";"   24145";"       7";"      18";"      49";"      34";"      15";"      40";"      27";"      13";"";"      -2";"   -0.01";"     -13";"   -0.05";"   24143"
"107419";"GM1714";"2009MM04";"   24143";"      20";"      20";"      59";"      46";"      13";"      59";"      41";"      18";"";"       0";"    0.00";"     -13";"   -0.05";"   24143"
"107420";"GM1714";"2009MM05";"   24143";"      13";"      25";"      64";"      55";"       9";"      34";"      28";"       6";"";"      18";"    0.07";"       5";"    0.02";"   24161"
"107421";"GM1714";"2009MM06";"   24161";"      12";"      25";"      77";"      49";"      28";"      42";"      30";"      12";"";"      22";"    0.09";"      27";"    0.11";"   24183"
"107422";"GM1714";"2009MM07";"   24183";"      11";"      21";"      75";"      54";"      21";"      84";"      69";"      15";"";"     -19";"   -0.08";"       8";"    0.03";"   24164"
"107423";"GM1714";"2009MM08";"   24164";"      13";"      21";"      50";"      43";"       7";"      77";"      64";"      13";"";"     -35";"   -0.14";"     -27";"   -0.11";"   24129"
"107424";"GM1714";"2009MM09";"   24129";"      17";"      20";"      68";"      49";"      19";"      90";"      82";"       8";"";"     -25";"   -0.10";"     -52";"   -0.22";"   24104"
"107425";"GM1714";"2009MM10";"   24104";"      15";"      17";"      55";"      41";"      14";"      54";"      43";"      11";"";"      -1";"    0.00";"     -53";"   -0.22";"   24103"
"107426";"GM1714";"2009MM11";"   24103";"      12";"      13";"      36";"      23";"      13";"      46";"      37";"       9";"";"     -11";"   -0.05";"     -64";"   -0.26";"   24092"
"107427";"GM1714";"2009MM12";"   24092";"      18";"      18";"      42";"      37";"       5";"      45";"      32";"      13";"       0";"      -3";"   -0.01";"     -67";"   -0.28";"   24089"
"107428";"GM1714";"2009JJ00";"   24156";"     158";"     256";"     702";"     517";"     185";"     671";"     526";"     145";"       0";"     -67";"   -0.28";"     -67";"   -0.28";"   24089"
"107429";"GM1714";"2010MM01";"   24089";"      11";"      31";"      74";"      55";"      19";"      50";"      26";"      24";"";"       4";"    0.02";"       4";"    0.02";"   24093"
"107430";"GM1714";"2010MM02";"   24093";"      17";"      23";"      58";"      46";"      12";"      42";"      32";"      10";"";"      10";"    0.04";"      14";"    0.06";"   24103"
"107431";"GM1714";"2010MM03";"   24103";"      16";"      16";"      62";"      39";"      23";"      45";"      31";"      14";"";"      17";"    0.07";"      31";"    0.13";"   24120"
"107432";"GM1714";"2010MM04";"   24120";"      13";"      22";"      50";"      31";"      19";"      37";"      23";"      14";"";"       4";"    0.02";"      35";"    0.15";"   24124"
"107433";"GM1714";"2010MM05";"   24124";"      20";"      25";"      47";"      30";"      17";"      40";"      29";"      11";"";"       2";"    0.01";"      37";"    0.15";"   24126"
"107434";"GM1714";"2010MM06";"   24126";"      10";"      22";"      58";"      34";"      24";"      47";"      36";"      11";"";"      -1";"    0.00";"      36";"    0.15";"   24125"
"107435";"GM1714";"2010MM07";"   24125";"      15";"      20";"      55";"      35";"      20";"      75";"      57";"      18";"";"     -25";"   -0.10";"      11";"    0.05";"   24100"
"107436";"GM1714";"2010MM08";"   24100";"      13";"      21";"      61";"      38";"      23";"     108";"     100";"       8";"";"     -55";"   -0.23";"     -44";"   -0.18";"   24045"
"107437";"GM1714";"2010MM09";"   24045";"      19";"      32";"      71";"      53";"      18";"      93";"      65";"      28";"";"     -35";"   -0.15";"     -79";"   -0.33";"   24010"
"107438";"GM1714";"2010MM10";"   24010";"      18";"      21";"      47";"      37";"      10";"      44";"      34";"      10";"";"       0";"    0.00";"     -79";"   -0.33";"   24010"
"107439";"GM1714";"2010MM11";"   24010";"      12";"      32";"      53";"      43";"      10";"      39";"      29";"      10";"";"      -6";"   -0.02";"     -85";"   -0.35";"   24004"
"107440";"GM1714";"2010MM12";"   24004";"      12";"      27";"      40";"      20";"      20";"      45";"      28";"      17";"      -5";"     -25";"   -0.10";"    -110";"   -0.46";"   23979"
"107441";"GM1714";"2010JJ00";"   24089";"     176";"     292";"     676";"     461";"     215";"     665";"     490";"     175";"      -5";"    -110";"   -0.46";"    -110";"   -0.46";"   23979"
"107442";"GM1714";"2011MM01";"   23979";"      25";"      23";"      83";"      52";"      31";"      77";"      51";"      26";"";"       8";"    0.03";"       8";"    0.03";"   23987"
"107443";"GM1714";"2011MM02";"   23987";"      19";"      23";"      47";"      26";"      21";"      55";"      40";"      15";"";"     -12";"   -0.05";"      -4";"   -0.02";"   23975"
"107444";"GM1714";"2011MM03";"   23975";"      16";"      32";"      66";"      26";"      40";"      42";"      33";"       9";"";"       8";"    0.03";"       4";"    0.02";"   23983"
"107445";"GM1714";"2011MM04";"   23983";"      14";"      22";"      71";"      37";"      34";"      61";"      45";"      16";"";"       2";"    0.01";"       6";"    0.03";"   23985"
"107446";"GM1714";"2011MM05";"   23985";"      17";"      27";"      65";"      43";"      22";"      49";"      40";"       9";"";"       6";"    0.03";"      12";"    0.05";"   23991"
"107447";"GM1714";"2011MM06";"   23991";"      14";"      31";"      65";"      46";"      19";"      50";"      42";"       8";"";"      -2";"   -0.01";"      10";"    0.04";"   23989"
"107448";"GM1714";"2011MM07";"   23989";"       9";"      20";"      82";"      43";"      39";"      57";"      41";"      16";"";"      14";"    0.06";"      24";"    0.10";"   24003"
"107449";"GM1714";"2011MM08";"   24003";"      11";"      32";"      77";"      49";"      28";"     114";"      85";"      29";"";"     -58";"   -0.24";"     -34";"   -0.14";"   23945"
"107450";"GM1714";"2011MM09";"   23945";"      23";"      21";"      91";"      48";"      43";"     116";"     103";"      13";"";"     -23";"   -0.10";"     -57";"   -0.24";"   23922"
"107451";"GM1714";"2011MM10";"   23922";"      16";"      23";"      63";"      32";"      31";"      71";"      51";"      20";"";"     -15";"   -0.06";"     -72";"   -0.30";"   23907"
"107452";"GM1714";"2011MM11";"   23907";"      14";"      37";"      76";"      38";"      38";"      59";"      42";"      17";"";"      -6";"   -0.03";"     -78";"   -0.33";"   23901"
"107453";"GM1714";"2011MM12";"   23901";"      13";"      26";"      41";"      20";"      21";"      40";"      29";"      11";"       3";"      -9";"   -0.04";"     -87";"   -0.36";"   23892"
"107454";"GM1714";"2011JJ00";"   23979";"     191";"     317";"     827";"     460";"     367";"     791";"     602";"     189";"       3";"     -87";"   -0.36";"     -87";"   -0.36";"   23892"
"107455";"GM1714";"2012MM01";"   23892";"      14";"      33";"      85";"      51";"      34";"      63";"      46";"      17";"";"       3";"    0.01";"       3";"    0.01";"   23895"
"107456";"GM1714";"2012MM02";"   23895";"      13";"      27";"      92";"      40";"      52";"      58";"      47";"      11";"";"      20";"    0.08";"      23";"    0.10";"   23915"
"107457";"GM1714";"2012MM03";"   23915";"      19";"      30";"      58";"      28";"      30";"      52";"      46";"       6";"";"      -5";"   -0.02";"      18";"    0.08";"   23910"
"107458";"GM1714";"2012MM04";"   23910";"      12";"      16";"      54";"      35";"      19";"      49";"      38";"      11";"";"       1";"    0.00";"      19";"    0.08";"   23911"
"107459";"GM1714";"2012MM05";"   23911";"      14";"      24";"      60";"      36";"      24";"      49";"      26";"      23";"";"       1";"    0.00";"      20";"    0.08";"   23912"
"107460";"GM1714";"2012MM06";"   23912";"       9";"      15";"      79";"      50";"      29";"      42";"      26";"      16";"";"      31";"    0.13";"      51";"    0.21";"   23943"
"107461";"GM1714";"2012MM07";"   23943";"      15";"      19";"      88";"      49";"      39";"      53";"      41";"      12";"";"      31";"    0.13";"      82";"    0.34";"   23974"
"107462";"GM1714";"2012MM08";"   23974";"      17";"      20";"      71";"      32";"      39";"     109";"      97";"      12";"";"     -41";"   -0.17";"      41";"    0.17";"   23933"
"107463";"GM1714";"2012MM09";"   23933";"      21";"      25";"      79";"      49";"      30";"      91";"      66";"      25";"";"     -16";"   -0.07";"      25";"    0.10";"   23917"
